,CALIBRATION,TYPE,OLD PART NUMBER(S),NEW PART NUMBER(s),Year,Body,BC Description,BC Length,Engine Size
6646,2013 WK 3.6L 4X4 EURO-5 118MPH 4LO NR STD C WK - GRAND CHEROKEE,PCM,"05150650AB, 68170439AA, 68170439AB, 68170439AC, 68170439AD, 68170439AE",68170439AF,2013,WK,WK - GRAND CHEROKEE,2,3.6L
6647,2013 WK 3.6L 4X4 EURO-5 118MPH 4LO REST HD C WK - GRAND CHEROKEE,PCM,"05150650AB, 68170440AA, 68170440AB, 68170440AC, 68170440AD, 68170440AE",68170440AF,2013,WK,WK - GRAND CHEROKEE,2,3.6L
6648,2013 WK 3.6L 4X4 EURO-5 118MPH 4LO NR HD C,PCM,"05150650AB, 68170441AA, 68170441AB, 68170441AC, 68170441AD, 68170441AE",68170441AF,2013,WK,,2,3.6L
6649,2013 WD 3.6L 4X2 50S STD C WD - DODGE SUV,PCM,"05150650AB, 68170442AA, 68170442AB, 68170442AC, 68170442AD, 68170442AE, 68170442AF",68170442AG,2013,WD,WD - DODGE SUV,2,3.6L
6651,2013 WD 3.6L AWD 50S STD C WD - DODGE SUV,PCM,"05150650AB, 68170443AA, 68170443AB, 68170443AC, 68170443AD, 68170443AE, 68170443AF",68170443AG,2013,WD,WD - DODGE SUV,2,3.6L
6652,2013 WD 3.6L 4X2 50S HD C TMC WD - DODGE SUV,PCM,"05150650AB, 68170444AA, 68170444AB, 68170444AC, 68170444AD, 68170444AE, 68170444AF",68170444AG,2013,WD,WD - DODGE SUV,2,3.6L
6653,2013 WD 3.6L AWD 50S HD C TMC WD - DODGE SUV WK - GRAND CHEROKEE WK - GRAND CHEROKEE WK - GRAND CHEROKEE WK - GRAND CHEROKEE WK - GRAND CHEROKEE,PCM,"05150650AB, 68170445AA, 68170445AB, 68170445AC, 68170445AD, 68170445AE, 68170445AF",68170445AG,2013,"WD, WK","WD - DODGE SUV, WK - GRAND CHEROKEE, WK - GRAND CHEROKEE, WK - GRAND CHEROKEE, WK - GRAND CHEROKEE, WK - GRAND CHEROKEE",6,3.6L
6654,2013 WK 5.7L JAPAN STD C 118MPH 4L REST,PCM,"05150639AB, 68170447AA, 68170447AB, 68170447AC, 68170447AD, 68262807AA, 68262807AB, 68262807AC",68170447AE,2013,WK,,2,5.7L
6655,2013 WK 5.7L JAPAN STD C 118MPH 4L REST,PCM,,68170447AE,2013,WK,,2,5.7L
6656,2013 WD 3.6L 4X2 50S MEX 124MPH STD C WD - DODGE SUV,PCM,"05150650AB, 68170448AA, 68170448AB, 68170448AC, 68170448AD, 68170448AE, 68170448AF",68170448AG,2013,WD,WD - DODGE SUV,2,3.6L
6657,2013 WD 3.6L 4X2 50S MEX 124MPH HD C TMC WD - DODGE SUV,PCM,"05150650AB, 68170449AA, 68170449AB, 68170449AC, 68170449AD, 68170449AE, 68170449AF",68170449AG,2013,WD,WD - DODGE SUV,2,3.6L
6658,2013 WD 3.6L 4X2 EURO-5 130MPH STD C WD - DODGE SUV,PCM,"05150650AB, 68170450AA, 68170450AB, 68170450AC, 68170450AD, 68170450AE, 68170450AF",68170450AG,2013,WD,WD - DODGE SUV,2,3.6L
6659,2013 WD 3.6L AWD EURO-5 130MPH STD C WD - DODGE SUV,PCM,"05150650AB, 68170451AA, 68170451AB, 68170451AC, 68170451AD, 68170451AE, 68170451AF",68170451AG,2013,WD,WD - DODGE SUV,2,3.6L
6660,2013 WD 3.6L 4X2 EURO-5 130MPH HD C TMC WD - DODGE SUV,PCM,"05150650AB, 68170452AA, 68170452AB, 68170452AC, 68170452AD, 68170452AE, 68170452AF",68170452AG,2013,WD,WD - DODGE SUV,2,3.6L
6661,2013 WD 3.6L AWD EURO-5 130MPH HD C TMC WD - DODGE SUV,PCM,"05150650AB, 68170453AA, 68170453AB, 68170453AC, 68170453AD, 68170453AE, 68170453AF",68170453AG,2013,WD,WD - DODGE SUV,2,3.6L
6662,2013 WD 3.6L AWD BUX BRAZIL 110MPH STD C WD - DODGE SUV,PCM,"05150650AB, 68170454AA, 68170454AB, 68170454AC, 68170454AD, 68170454AE, 68170454AF",68170454AG,2013,WD,WD - DODGE SUV,2,3.6L
6664,2013 WD 3.6L AWD BUX BRAZIL 110MPH HD C TMC WD - DODGE SUV WK - GRAND CHEROKEE WK - GRAND CHEROKEE WK - GRAND CHEROKEE WK - GRAND CHEROKEE WK - GRAND CHEROKEE WK - GRAND CHEROKEE WK - GRAND CHEROKEE WK - GRAND CHEROKEE WK - GRAND CHEROKEE,PCM,"05150650AB, 68170455AA, 68170455AB, 68170455AC, 68170455AD, 68170455AE, 68170455AF",68170455AG,2013,"WD, WK","WD - DODGE SUV, WK - GRAND CHEROKEE, WK - GRAND CHEROKEE, WK - GRAND CHEROKEE, WK - GRAND CHEROKEE, WK - GRAND CHEROKEE, WK - GRAND CHEROKEE, WK - GRAND CHEROKEE, WK - GRAND CHEROKEE, WK - GRAND CHEROKEE",6,3.6L
6665,2013 WD 5.7L 50S HD C 110MPH WD - DODGE SUV,PCM,"05150639AB, 68170467AA, 68170467AB, 68170467AC",68170467AD,2013,WD,WD - DODGE SUV,2,5.7L
6666,2013 WD 5.7L PCM HD COOLING PWM 110MPH 50S WD - DODGE SUV,PCM,"05150639AB, 68170467AE, 68262786AB, 68262786AC",68170467AF,2013,WD,WD - DODGE SUV,2,5.7L
6667,2013 WD 5.7L PCM HD COOLING PWM 110MPH 50S,PCM,,68170467AF,2013,WD,,2,5.7L
6668,2013 WD RT 5.7L 50S HD C 118MPH WD - DODGE SUV,PCM,"05150639AB, 68170468AA, 68170468AB, 68170468AC",68170468AD,2013,WD,WD - DODGE SUV,2,5.7L
6669,2013 WD 5.7L PCM RT HD COOLING PWM 118MPH 50S WD - DODGE SUV,PCM,"05150639AB, 68170468AE, 68262787AB, 68262787AC",68170468AF,2013,WD,WD - DODGE SUV,2,5.7L
6670,2013 WD 5.7L PCM RT HD COOLING PWM 118MPH 50S,PCM,,68170468AF,2013,WD,,2,5.7L
6671,2013 WK 5.7L EURO-5 HD C 118MPH 4L REST WK - GRAND CHEROKEE,PCM,"05150639AB, 68170469AA, 68170469AB, 68170469AC, 68170469AD, 68262808AA, 68262808AB, 68262808AC",68170469AE,2013,WK,WK - GRAND CHEROKEE,2,5.7L
6672,2013 WK 5.7L EURO-5 HD C 118MPH 4L REST,PCM,,68170469AE,2013,WK,,2,5.7L
6673,2013 WK 5.7L EURO-5 STD C 118MPH 4L REST WK - GRAND CHEROKEE,PCM,"05150639AB, 68170470AA, 68170470AB, 68170470AC, 68170470AD, 68262809AA, 68262809AB, 68262809AC",68170470AE,2013,WK,WK - GRAND CHEROKEE,2,5.7L
6674,2013 WK 5.7L EURO-5 STD C 118MPH 4L REST,PCM,,68170470AE,2013,WK,,2,5.7L
6675,2013 WD 5.7L 50S MEX HD C 124MPH WD - DODGE SUV,PCM,"05150639AB, 68170471AA, 68170471AB, 68170471AC",68170471AD,2013,WD,WD - DODGE SUV,2,5.7L
6676,2013 WD 5.7L PCM HD COOLING PWM 124MPH MEXICO WD - DODGE SUV,PCM,"05150639AB, 68170471AE, 68262788AB, 68262788AC",68170471AF,2013,WD,WD - DODGE SUV,2,5.7L
6677,2013 WD 5.7L PCM HD COOLING PWM 124MPH MEXICO,PCM,,68170471AF,2013,WD,,2,5.7L
6678,2013 WD 5.7L EURO-5 HD C 130MPH WD - DODGE SUV,PCM,"05150639AB, 68170472AA, 68170472AB, 68170472AC",68170472AD,2013,WD,WD - DODGE SUV,2,5.7L
6679,2013 WD 5.7L PCM HD COOLING PWM 130MPH EURO5 WD - DODGE SUV,PCM,"05150639AB, 68170472AE, 68262789AB, 68262789AC",68170472AF,2013,WD,WD - DODGE SUV,2,5.7L
6680,2013 WD 5.7L PCM HD COOLING PWM 130MPH EURO5,PCM,,68170472AF,2013,WD,,2,5.7L
6682,2013 FF 1.4L MAN 50S CAN MEXABARTH 16V T 1154,PCM,"05150737AC, 68171041AA, 68171041AB, 68171041AC, 68171041AD, 68171041AE, 68171041AF, 68171041AG, 68171041AH",68171041AI,2013,FF,,2,1.4L
6683,2013 FF 1.4L MAN 50S TURBO SPORT OLD BCM,PCM,"05150737AC, 68171042AA, 68171042AB, 68171042AC, 68171042AD, 68171042AE, 68171042AF, 68171042AG, 68171042AH, 68171042AI",68171042AJ,2013,FF,,2,1.4L
6684,2013 LX 3.6L A8 RWD CAL LX - 300 / MAGNUM / CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171300AA, 68171300AB, 68171300AC, 68171300AD, 68171300AE, 68171300AF, 68171300AG",68171300AH,2013,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
6685,2013 LX 3.6L A8 RWD FED LX - 300 / MAGNUM / CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171301AA, 68171301AB, 68171301AC, 68171301AD, 68171301AE, 68171301AF, 68171301AG",68171301AH,2013,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
6686,2013 LX 3.6L A8 RWD 50S FFV FLEET ONLY LX - 300 / MAGNUM / CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171302AA, 68171302AB, 68171302AC, 68171302AD, 68171302AE, 68171302AF, 68171302AG",68171302AH,2013,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
6687,2013 LX 3.6L A8 RWD EURO 5 LX - 300 / MAGNUM / CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171303AA, 68171303AB, 68171303AC, 68171303AD, 68171303AE, 68171303AF",68171303AG,2013,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
6688,2013 LX 3.6L A8 RWD ROW LX - 300 / MAGNUM / CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171304AA, 68171304AB, 68171304AC, 68171304AD, 68171304AE, 68171304AF",68171304AG,2013,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
6689,2013 LX 3.6L A8 AWD CAL LX - 300 / MAGNUM / CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171305AA, 68171305AB, 68171305AC, 68171305AD, 68171305AE, 68171305AF, 68171305AG",68171305AH,2013,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
6691,2013 LX 3.6L A8 AWD FED LX - 300 / MAGNUM / CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171306AA, 68171306AB, 68171306AC, 68171306AD, 68171306AE, 68171306AF, 68171306AG",68171306AH,2013,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
6692,2013 LX 3.6L A8 AWD 50S FFV FLEET ONLY LX - 300 / MAGNUM / CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171307AA, 68171307AB, 68171307AC, 68171307AD, 68171307AE, 68171307AF, 68171307AG",68171307AH,2013,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
6693,2013 LD 3.6L 5ATX CALIFORNIA 50S LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171308AA, 68171308AB",68171308AC,2013,LD,LD - CHARGER,2,3.6L
6694,2013 LD 3.6L 5ATX FEDERAL FFV LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171309AA, 68171309AB",68171309AC,2013,LD,LD - CHARGER,2,3.6L
6695,2013 LD 3.6L 5ATX RWD FFV FLEET LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171310AA, 68171310AB",68171310AC,2013,LD,LD - CHARGER,2,3.6L
6696,2013 LC 3.6L A5 2.65 AXLE LC - CHALLENGER,PCM,"05150722AA, 05150722AB, 05150722AC, 68171320AA, 68171320AB, 68171320AC, 68171320AD, 68171320AE",68171320AF,2013,LC,LC - CHALLENGER,2,3.6L
6697,2013 LC 3.6L A5 3.06 AXLE LC - CHALLENGER,PCM,"05150722AA, 05150722AB, 05150722AC, 68171321AA, 68171321AB, 68171321AC, 68171321AD, 68171321AE",68171321AF,2013,LC,LC - CHALLENGER,2,3.6L
6698,2013 LC 3.6L A5 2.65 AXLE ROW LC - CHALLENGER,PCM,"05150722AC, 68171322AB, 68171322AC, 68171322AD",68171322AE,2013,LC,LC - CHALLENGER,2,3.6L
6699,2013 LD 3.6L A5 RWD CAL LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171323AA, 68171323AB, 68171323AC, 68171323AD, 68171323AE",68171323AF,2013,LD,LD - CHARGER,2,3.6L
6700,2013 LD 3.6L A5 RWD FED LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171324AA, 68171324AB, 68171324AC, 68171324AD, 68171324AE",68171324AF,2013,LD,LD - CHARGER,2,3.6L
6701,2013 LD 3.6L A5 RWD 50S FFV FLEET ONLY LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171325AA, 68171325AB, 68171325AC, 68171325AD, 68171325AE",68171325AF,2013,LD,LD - CHARGER,2,3.6L
6703,2013 LD 3.6L A5 RWD NON FFV 2.65 AXLE POLICE LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171326AA, 68171326AB, 68171326AC, 68171326AD, 68171326AE",68171326AF,2013,LD,LD - CHARGER,2,3.6L
6704,2013 LD 3.6L A5 RWD FFV 2.65 AXLE POLICE LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171327AA, 68171327AB, 68171327AC, 68171327AD, 68171327AE",68171327AF,2013,LD,LD - CHARGER,2,3.6L
6705,2013 LD 3.6L A5 HS RWD NON FFV 2.65 AXLE POL LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171328AA, 68171328AB, 68171328AC, 68171328AD, 68171328AE",68171328AF,2013,LD,LD - CHARGER,2,3.6L
6706,2013 LD 3.6L A5 HS RWD FFV 2.65 AXLE POL LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171329AA, 68171329AB, 68171329AC, 68171329AD, 68171329AE",68171329AF,2013,LD,LD - CHARGER,2,3.6L
6707,2013 LD 3.6L A5 HS RWD ROW 2.65 AXLE POL LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171330AA, 68171330AB, 68171330AC, 68171330AD",68171330AE,2013,LD,LD - CHARGER,2,3.6L
6708,2013 LD 3.6L A5 RWD NON FFV 3.07 AXLE POLICE LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171331AA, 68171331AB, 68171331AC, 68171331AD, 68171331AE",68171331AF,2013,LD,LD - CHARGER,2,3.6L
6709,2013 LD 3.6L A5 RWD FFV 3.07 AXLE POLICE LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171332AA, 68171332AB, 68171332AC, 68171332AD, 68171332AE",68171332AF,2013,LD,LD - CHARGER,2,3.6L
6710,2013 LD 3.6L A5 RWD HS NON FFV 3.07 AXLE POL LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171333AA, 68171333AB, 68171333AC, 68171333AD, 68171333AE",68171333AF,2013,LD,LD - CHARGER,2,3.6L
6711,2013 LD 3.6L A5 RWD 3.07 AXLE POLICE NON PN LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171334AA, 68171334AB, 68171334AC, 68171334AD, 68171334AE",68171334AF,2013,LD,LD - CHARGER,2,3.6L
6712,2013 LD 3.6L A5 RWD 3.07 AXLE POLICE NON PN R LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171335AA, 68171335AB, 68171335AC, 68171335AD",68171335AE,2013,LD,LD - CHARGER,2,3.6L
6714,2013 LD 3.6L A8 AWD CAL LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171336AA, 68171336AB, 68171336AC, 68171336AD, 68171336AE, 68171336AF, 68171336AG",68171336AH,2013,LD,LD - CHARGER,2,3.6L
6715,2013 LD 3.6L A8 AWD FED LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171337AA, 68171337AB, 68171337AC, 68171337AD, 68171337AE, 68171337AF, 68171337AG",68171337AH,2013,LD,LD - CHARGER,2,3.6L
6716,2013 LD 3.6L A8 AWD 50S FFV FLEET ONLY LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171338AA, 68171338AB, 68171338AC, 68171338AD, 68171338AE, 68171338AF, 68171338AG",68171338AH,2013,LD,LD - CHARGER,2,3.6L
6717,2013 LD 3.6L A8 RWD CAL LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171339AA, 68171339AB, 68171339AC, 68171339AD, 68171339AE, 68171339AF, 68171339AG",68171339AH,2013,LD,LD - CHARGER,2,3.6L
6718,2013 LD 3.6L A8 RWD FED LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171340AA, 68171340AB, 68171340AC, 68171340AD, 68171340AE, 68171340AF, 68171340AG",68171340AH,2013,LD,LD - CHARGER,2,3.6L
6719,2013 LD 3.6L A8 RWD 50S FFV FLEET ONLY LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171341AA, 68171341AB, 68171341AC, 68171341AD, 68171341AE, 68171341AF, 68171341AG",68171341AH,2013,LD,LD - CHARGER,2,3.6L
6720,2013 LD 3.6L A8 RWD ROW LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171342AA, 68171342AB, 68171342AC, 68171342AD, 68171342AE, 68171342AF",68171342AG,2013,LD,LD - CHARGER,2,3.6L
6721,2013 LD 3.6L A8 RWD FED 300HP LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171343AA, 68171343AB, 68171343AC, 68171343AD, 68171343AE, 68171343AF, 68171343AG",68171343AH,2013,LD,LD - CHARGER,2,3.6L
6723,2013 LD 3.6L A8 RWD CAL 300HP LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171344AA, 68171344AB, 68171344AC, 68171344AD, 68171344AE, 68171344AF, 68171344AG",68171344AH,2013,LD,LD - CHARGER,2,3.6L
6724,2013 LD 3.6L PCM 8ATX RWD 50S LD - CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171345AA, 68171345AB, 68171345AC, 68171345AD, 68171345AE",68171345AF,2013,LD,LD - CHARGER,2,3.6L
6725,2013 LX 3.6L A8 AWD FED 300HP LX - 300 / MAGNUM / CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171347AA, 68171347AB, 68171347AC, 68171347AD, 68171347AE, 68171347AF, 68171347AG",68171347AH,2013,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
6726,2013 LX 3.6L A8 AWD CAL 300HP LX - 300 / MAGNUM / CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171348AA, 68171348AB, 68171348AC, 68171348AD, 68171348AE, 68171348AF, 68171348AG",68171348AH,2013,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
6727,2013 LD 5.7L AWD 130MPH 50S LD - CHARGER,PCM,"05150696AC, 68171350AB, 68171350AC, 68171350AD, 68171350AE, 68171350AF",68171350AG,2013,LD,LD - CHARGER,2,5.7L
6728,2013 LX 5.7L AWD 130MPH 50S LX - 300 / MAGNUM / CHARGER,PCM,"05150696AC, 68171351AB, 68171351AC, 68171351AD, 68171351AE, 68171351AF",68171351AG,2013,LX,LX - 300 / MAGNUM / CHARGER,2,5.7L
6729,2013 LX 5.7L AWD 118MPH 50S LX - 300 / MAGNUM / CHARGER,PCM,"05150696AC, 68171352AB, 68171352AC, 68171352AD, 68171352AE, 68171352AF",68171352AG,2013,LX,LX - 300 / MAGNUM / CHARGER,2,5.7L
6730,2013 LD 5.7L RWD 130MPH 50S LD - CHARGER,PCM,"05150696AC, 68171354AB, 68171354AC, 68171354AD, 68171354AE, 68171354AF",68171354AG,2013,LD,LD - CHARGER,2,5.7L
6731,2013 LD 5.7L RWD 145MPH 50S LD - CHARGER,PCM,"05150696AC, 68171355AB, 68171355AC, 68171355AD, 68171355AE, 68171355AF",68171355AG,2013,LD,LD - CHARGER,2,5.7L
6732,2013 LD 5.7L RWD 2.65 151MPH 50S POLICE LD - CHARGER,PCM,"05150696AC, 68171356AA, 68171356AB, 68171356AC, 68171356AD, 68171356AE, 68171356AF, 68171356AG, 68171356AH",68171356AI,2013,LD,LD - CHARGER,2,5.7L
6734,2013 LD 5.7L RWD 2.65 130MPH 50S POLICE LD - CHARGER,PCM,"05150696AC, 68171357AA, 68171357AB, 68171357AC, 68171357AD, 68171357AE, 68171357AF, 68171357AG, 68171357AH",68171357AI,2013,LD,LD - CHARGER,2,5.7L
6735,2013 LC 5.7L A5 145MPH 50S LC - CHALLENGER,PCM,"05150694AC, 68171358AB, 68171358AC, 68171358AD, 68171358AE, 68171358AF",68171358AG,2013,LC,LC - CHALLENGER,2,5.7L
6736,2013 LC 5.7L M6 145MPH 50S LC - CHALLENGER,PCM,"05150694AC, 68171359AC, 68171359AD, 68171359AE, 68171359AF, 68171359AG",68171359AH,2013,LC,LC - CHALLENGER,2,5.7L
6737,2013 LC 5.7L A5 155MPH 50S LC - CHALLENGER,PCM,"05150694AC, 68171360AB, 68171360AC, 68171360AD, 68171360AE, 68171360AF",68171360AG,2013,LC,LC - CHALLENGER,2,5.7L
6738,2013 LC 5.7L M6 155MPH 50S LC - CHALLENGER,PCM,"05150694AC, 68171361AC, 68171361AD, 68171361AE, 68171361AF, 68171361AG",68171361AH,2013,LC,LC - CHALLENGER,2,5.7L
6739,2013 LC 5.7L A5 145MPH ROW LC - CHALLENGER,PCM,"05150694AC, 68171362AB, 68171362AC, 68171362AD, 68171362AE",68171362AF,2013,LC,LC - CHALLENGER,2,5.7L
6740,2013 LC 5.7L M6 145MPH ROW LC - CHALLENGER,PCM,"05150694AC, 68171363AC, 68171363AD, 68171363AE, 68171363AF",68171363AG,2013,LC,LC - CHALLENGER,2,5.7L
6741,2013 LC 5.7L A5 155MPH ROW LC - CHALLENGER,PCM,"05150694AC, 68171364AB, 68171364AC, 68171364AD, 68171364AE",68171364AF,2013,LC,LC - CHALLENGER,2,5.7L
6742,2013 LC 5.7L M6 155MPH ROW LC - CHALLENGER,PCM,"05150694AC, 68171365AC, 68171365AD, 68171365AE, 68171365AF",68171365AG,2013,LC,LC - CHALLENGER,2,5.7L
6743,2013 LD 5.7L RWD 3.06 151MPH 50S POLICE LD - CHARGER,PCM,"05150696AC, 68171366AA, 68171366AB, 68171366AC, 68171366AD, 68171366AE, 68171366AF, 68171366AG, 68171366AH",68171366AI,2013,LD,LD - CHARGER,2,5.7L
6745,2013 LD 5.7L RWD 3.06 130MPH 50S POLICE LD - CHARGER,PCM,"05150696AC, 68171367AA, 68171367AB, 68171367AC, 68171367AD, 68171367AE, 68171367AF, 68171367AG, 68171367AH",68171367AI,2013,LD,LD - CHARGER,2,5.7L
6746,2013 LD 5.7L RWD 130MPH ROW LD - CHARGER,PCM,"05150696AC, 68171368AB, 68171368AC, 68171368AD, 68171368AE",68171368AF,2013,LD,LD - CHARGER,2,5.7L
6747,2013 LD 5.7L RWD 145MPH ROW LD - CHARGER,PCM,"05150696AC, 68171369AB, 68171369AC, 68171369AD, 68171369AE",68171369AF,2013,LD,LD - CHARGER,2,5.7L
6748,2013 LD 5.7L RWD 2.65 151MPH POLICE ROW LD - CHARGER,PCM,"05150696AC, 68171370AA, 68171370AB, 68171370AC, 68171370AD, 68171370AE, 68171370AF, 68171370AG",68171370AH,2013,LD,LD - CHARGER,2,5.7L
6749,2013 LX 5.7L RWD 145MPH ROW LX - 300 / MAGNUM / CHARGER,PCM,"05150696AC, 68171371AB, 68171371AC, 68171371AD, 68171371AE",68171371AF,2013,LX,LX - 300 / MAGNUM / CHARGER,2,5.7L
6750,2013 LX 3.6L A8 RWD FED 300HP LX - 300 / MAGNUM / CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171373AA, 68171373AB, 68171373AC, 68171373AD, 68171373AE, 68171373AF, 68171373AG",68171373AH,2013,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
6751,2013 LX 3.6L A8 RWD CAL 300HP LX - 300 / MAGNUM / CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171374AA, 68171374AB, 68171374AC, 68171374AD, 68171374AE, 68171374AF, 68171374AG",68171374AH,2013,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
6752,2013 LX 3.6L A8 AWD EURO 5 NON FFV M48 LX - 300 / MAGNUM / CHARGER,PCM,"05150723AA, 05150723AB, 05150723AC, 68171375AA, 68171375AB, 68171375AC, 68171375AD",68171375AE,2013,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
6753,2013 LC 3.6L A5 2.65 AXLE 2 LC - CHALLENGER,PCM,"05150722AA, 05150722AB, 05150722AC, 68171377AA, 68171377AB",68171377AC,2013,LC,LC - CHALLENGER,2,3.6L
6754,2011 2012 J8 2.8L DSL AUTO GERMAN MINE J8 - WRANGLER(CKD),PCM,05150528AD,68171687AA,"2011, 2012",J8,J8 - WRANGLER(CKD),2,2.8L
6756,2014 WK 3.6L AUTO 50S STD COOL WK - GRAND CHEROKEE,PCM,"05150790AC, 68172002AA, 68172002AB, 68172002AC, 68172002AD, 68172002AE, 68172002AF, 68172002AG, 68172002AH, 68172002AI, 68172002AJ, 68172002AK, 68172002AL, 68172002AM, 68172002AN, 68172002AO, 68172002AP",68172002AQ,2014,WK,WK - GRAND CHEROKEE,2,3.6L
6757,2014 WK 3.6L AUTO 50S HD COOL WK - GRAND CHEROKEE,PCM,"05150790AC, 68172003AA, 68172003AB, 68172003AC, 68172003AD, 68172003AE, 68172003AF, 68172003AG, 68172003AH, 68172003AI, 68172003AJ, 68172003AK, 68172003AL, 68172003AM, 68172003AN, 68172003AO, 68172003AP",68172003AQ,2014,WK,WK - GRAND CHEROKEE,2,3.6L
6758,2014 WK 3.6L AUTO EURO V STD COOL WK - GRAND CHEROKEE,PCM,"05150790AC, 68172004AA, 68172004AB, 68172004AC, 68172004AD, 68172004AE, 68172004AF, 68172004AG, 68172004AH, 68172004AI, 68172004AJ, 68172004AK, 68172004AL, 68172004AM, 68172004AN, 68172004AO, 68172004AP",68172004AQ,2014,WK,WK - GRAND CHEROKEE,2,3.6L
6759,2014 WK 3.6L AUTO MEX STD COOL 124 MPH WK - GRAND CHEROKEE,PCM,"05150790AC, 68172005AA, 68172005AB, 68172005AC, 68172005AD, 68172005AE, 68172005AF, 68172005AG, 68172005AH, 68172005AI, 68172005AJ, 68172005AK, 68172005AL, 68172005AM, 68172005AN, 68172005AO, 68172005AP",68172005AQ,2014,WK,WK - GRAND CHEROKEE,2,3.6L
6760,2014 WK 3.6L AUTO MEX HD COOL 124 MPH WK - GRAND CHEROKEE,PCM,"05150790AC, 68172006AA, 68172006AB, 68172006AC, 68172006AD, 68172006AE, 68172006AF, 68172006AG, 68172006AH, 68172006AI, 68172006AJ, 68172006AK, 68172006AL, 68172006AM, 68172006AN, 68172006AO, 68172006AP",68172006AQ,2014,WK,WK - GRAND CHEROKEE,2,3.6L
6762,2014 WK 3.6L AUTO JAP STD COOL 130 MPH WK - GRAND CHEROKEE,PCM,"05150790AC, 68172007AA, 68172007AB, 68172007AC, 68172007AD, 68172007AE, 68172007AF, 68172007AG, 68172007AH, 68172007AI, 68172007AJ, 68172007AK, 68172007AL, 68172007AM, 68172007AN, 68172007AO, 68172007AP",68172007AQ,2014,WK,WK - GRAND CHEROKEE,2,3.6L
6763,2014 WK 3.6L AUTO EURO V STD COOL 130 MPH 4LR WK - GRAND CHEROKEE,PCM,"05150790AC, 68172008AA, 68172008AB, 68172008AC, 68172008AD, 68172008AE, 68172008AF, 68172008AG, 68172008AH, 68172008AI, 68172008AJ, 68172008AK, 68172008AL, 68172008AM, 68172008AN, 68172008AO, 68172008AP",68172008AQ,2014,WK,WK - GRAND CHEROKEE,2,3.6L
